index,offset_hex,team_name,team_abbr,team_name_2,nickname,mascot
"195","0x1f9e54","Idaho St.","IDST","Idaho State","Bengals","Benny"
"196","0x1fa114","Montana","MONT","Montana","Grizzlies","Monte"
"197","0x1fa3d4","Montana St.","MTST","Montana State","Bobcats","Champ"
"198","0x1fa694","N. Arizona","NAU","Northern Arizona","Lumberjacks","The Lumberjack"
"199","0x1fa954","N. Colorado","NC","Northern Colorado","Bears","Klawz"
"200","0x1fac14","Portland St.","PRST","Portland State","Vikings","Victor E. Viking"
"201","0x1faed4","Sacramento St.","CSUS","Sacramento State","Hornets","Herky"
"202","0x1fb194","S. Utah","SUU","Southern Utah","Thunderbirds","Thor"
"203","0x1fb454","Weber St.","WEB","Weber State","Wildcats","Waldo"
"204","0x1fb714","Pacific","PAC","Pacific","Tigers","Power Cat"
"205","0x1fb9d4","Bradley","BRAD","Bradley","Braves","N/A"
"206","0x1fbc94","Drake","DRKE","Drake","Bulldogs","N/A"
"207","0x1fbf54","Evansville","EVAN","Evansville","Purple Aces","Ace Purple"
"208","0x1fc214","Illinois St.","ILST","Illinois State","Redbirds","Reggie"
"209","0x1fc4d4","Indiana St.","INST","Indiana State","Sycamores","Sycamore Sam"
"210","0x1fc794","Loyola (IL)","L-IL","Loyola (Ill.)","Ramblers","Lu Wolf"
"211","0x1fca54","Missouri St.","MOST","Missouri State","Bears","N/A"
"212","0x1fcd14","N. Iowa","UNI","Northern Iowa","Panthers","TC"
"213","0x1fcfd4","Southern Illinoi","SIU","Southern Illinoi","Salukis","King Tut II"
"214","0x1fd294","Valparaiso","VLPO","Valparaiso","Crusaders","Crusader"
"215","0x1fd554","Chattanooga","CHAT","Chattanooga","Mocs","Scrappy"
"216","0x1fd814","East Tennessee S","ETSU","East Tennessee S","Buccaneers","Bucky"
"217","0x1fdad4","Furman","FUR","Furman","Paladins","N/A"
"218","0x1fdd94","Mercer","MER","Mercer","Bears","N/A"
"219","0x1fe054","Samford","SAM","Samford","Bulldogs","Spike"
"220","0x1fe314","The Citadel","CIT","Citadel","Bulldogs","Spike"
"221","0x1fe5d4","UNC Greensboro","UNCG","UNC Greensboro","Spartans","N/A"
"222","0x1fe894","VMI","VMI","Virginia Military Institute","Keydets","N/A"
"223","0x1feb54","Wofford","WOF","Wofford","Terriers","Boss"
"224","0x1fee14","Canisius","CAN","Canisius","Golden Griffins","Petey"
"225","0x1ff0d4","Fairfield","FAIR","Fairfield","Stags","The Stag"
"226","0x1ff394","Iona","IONA","Iona","Gaels","The Gael"
"227","0x1ff654","Manhattan","MAN","Manhattan","Jaspers","N/A"
"228","0x1ff914","Marist","MRST","Marist","Red Foxes","Shooter"
"229","0x1ffbd4","Monmouth","MONM","Monmouth","Hawks","Shadow"
"230","0x1ffe94","Niagara","NIAG","Niagara","Purple Eagles","Monte"
"231","0x200154","Quinnipiac","QUIN","Quinnipiac","Bobcats","Boomer"
"232","0x200414","Rider","RID","Rider","Broncs","The Bronc"
"233","0x2006d4","Siena","SIE","Siena","Saints","St. Bernard"
"234","0x200994","Saint Peter's","SPC","Saint Peter's","Peacocks","The Peacock"
"235","0x200c54","Air Force","AFA","Air Force","Falcons","The Bird"
"236","0x200f14","Boise St.","BOI","Boise State","Broncos","Buster"
"237","0x2011d4","Colorado St.","CSU","Colorado State","Rams","Cam"
"238","0x201494","Fresno St.","FRES","Fresno State","Bulldogs","Timeout"
"239","0x201754","Nevada","NEV","Nevada","Wolf Pack","Alfie"
"240","0x201a14","New Mexico","UNM","New Mexico","Lobos","Lobo Louie"
"241","0x201cd4","San Diego St.","SDSU","San Diego State","Aztecs","Monty Montezuma"
"242","0x201f94","San Jose St.","SJSU","San Jose State","Spartans","Sammy"
"243","0x202254","UNLV","UNLV","UNLV","Runnin' Rebels","Hey Reb"
"244","0x202514","Utah St.","USU","Utah State","Aggies","Big Blue"
"245","0x2027d4","Wyoming","WYO","Wyoming","Cowboys","Pistol Pete"
"246","0x202a94","Baylor","BAY","Baylor","Bears","Bruiser"
"247","0x202d54","Iowa St.","ISU","Iowa State","Cyclones","Cy"
"248","0x203014","Kansas","KU","Kansas","Jayhawks","Baby Jay"
"249","0x2032d4","Kansas St.","KSU","Kansas State","Wildcats","Willie Wildcat"
"250","0x203594","Oklahoma","OKLA","Oklahoma ","Sooners","Top Daug"
"251","0x203854","Oklahoma St.","OKST","Oklahoma State","Cowboys","Pistol Pete"
"252","0x203b14","TCU","TCU","Texas Christian","Horned Frogs","Superfrog"
"253","0x203dd4","Texas","TEX","Texas","Longhorns","Hook 'em"
"254","0x204094","Texas Tech","TTU","Texas Tech","Red Raiders","Raider Red"
"255","0x204354","W. Virginia","WVU","West Virginia","Mountaineers","Mountaineer"
"256","0x204614","Coppin St.","COPP","Coppin State","Eagles","N/A"
"257","0x2048d4","Delaware St.","DSC","Delaware State","Hornets","The Hornet"
"258","0x204b94","Howard","HOW","Howard","Bison","N/A"
"259","0x204e54","MD-Eastern Shore","UMES","Maryland-Eastern Shore","Hawks","Harry "
"260","0x205114","Morgan St.","MORG","Morgan State","Bears","N/A"
"261","0x2053d4","Norfolk St.","NORF","Norfolk State","Spartans","N/A"
"262","0x205694","S. Carolina St.","SCST","South Carolina State","Bulldogs","N/A"
"263","0x205954","Lafayette","LAF","Lafayette","Leopards","Leopard"
"264","0x205c14","Campbell","CAM","Campbell","Fighting Camels","Gaylord"
"265","0x205ed4","Charleston South","CHSO","Charleston South","Buccaneers","N/A"
"266","0x206194","Gardner-Webb","GWU","Gardner-Webb","Runnin' Bulldogs","N/A"
"267","0x206454","Hampton","HAMP","Hampton","Pirates","N/A"
"268","0x206714","High Point","HPU","High Point","Panthers","N/A"
"269","0x2069d4","Longwood","LW","Longwood","Lancers","N/A"
"270","0x206c94","North Carolina A","NCAT","North Carolina A","Aggies","Aggie Dog"
"271","0x206f54","Radford","RAD","Radford","Highlanders","The Highlander"
"272","0x207214","South Carolina U","USCU","South Carolina U","Spartans","N/A"
"273","0x2074d4","UNC Asheville","UNCA","UNC Asheville","Bulldogs","Rocky"
"274","0x207794","Winthrop","WIN","Winthrop","Eagles","N/A"
"275","0x207a54","Southern Miss","USM","Southern Miss","Golden Eagles","Seymour"
"276","0x207d14","Alabama A&M","AAMU","Alabama A&M","Bulldogs","N/A"
"277","0x207fd4","Alabama St.","ALST","Alabama State","Hornets","N/A"
"278","0x208294","Alcorn St.","ALCN","Alcorn State","Braves","N/A"
"279","0x208554","Ark.-Pine Bluff","UAPB","Arkansas Pine Bluff","Golden Lions","N/A"
"280","0x208814","Florida A&M","FAMU","Florida A&M","Rattlers","N/A"
"281","0x208ad4","Grambling","GRAM","Grambling State","Tigers","N/A"
"282","0x208d94","Jackson St.","JXST","Jackson State","Tigers","N/A"
"283","0x209054","Mississippi Vall","MVSU","Mississippi Vall","Delta Devils","N/A"
"284","0x209314","Prairie View","PV","Prairie View","Panthers","N/A"
"285","0x2095d4","Southern","STHN","Southern","Jaguars","Lacumba"
"286","0x209894","Texas Southern","TXSO","Texas Southern","Tigers","N/A"
"287","0x209b54","Cleveland St.","CLEV","Cleveland State","Vikings","Viktor"
"288","0x209e14","Detroit","DET","Detroit","Titans","Tommy Titan"
"289","0x20a0d4","Wisconsin - Gree","UWGB","Wisconsin - Gree","Phoenix","Phlash"
"290","0x20a394","IUPUI","IUPU","IUPUI","Jaguars","Jinx"
"291","0x20a654","Illinois-Chicago","UIC","Illinois-Chicago","Flames","Sparky D. Dragon"
"292","0x20a914","UW-Milwaukee","UWM","Wisconsin - Milwaukee","Panthers","Victor E. Panther"
"293","0x20abd4","Oakland","OAK","Oakland","Grizzlies","The Grizz"
"294","0x20ae94","IPFW","IPFW","IPFW","Mastodons","Don the Mastodon"
"295","0x20b154","Robert Morris","RMU","Robert Morris","Colonials","N/A"
"296","0x20b414","Wright St.","WRST","Wright State","Raiders","Rowdy Raider"
"297","0x20b6d4","Youngstown St.","YSU","Youngstown","Penguins","Pete"
"298","0x20b994","Duquesne","DUQ","Duquesne","Dukes","The Duke"
"299","0x20bc54","Cal State Fuller","CSF","Cal State Fuller","Titans","Tuffy"
"300","0x20bf14","Cal State Northr","CSN","Cal State Northr","Matadors","N/A"
"301","0x20c1d4","Cal Poly","CP","Cal Poly","Mustangs","N/A"
"302","0x20c494","CSU Bakersfield","CSUB","Cal State Bakersfield","Roadrunners","Rowdy the Runner"
"303","0x20c754","Hawaii","HAW","Hawaii","Rainbow Warriors","N/A"
"304","0x20ca14","Long Beach St.","LBSU","Long Beach State","49ers","Prospector Pete"
"305","0x20ccd4","UC Davis","UCD","UC Davis","Aggies","Gunrock"
"306","0x20cf94","UC Riverside","UCR","UC Riverside","Highlanders","Scotty"
"307","0x20d254","UC Irvine","UCI","UC Irvine","Anteaters","Peter"
"308","0x20d514","UC Santa Barbara","UCSB","UC Santa Barbara","Gauchos","N/A"
"309","0x20d7d4","Alabama","BAMA","Alabama","Crimson Tide","Big Al"
"310","0x20da94","Arkansas","ARK","Arkansas","Razorbacks","Boss Hog"
"311","0x20dd54","Auburn","AUB","Auburn","Tigers","Aubie"
"312","0x20e014","Florida","FLA","Florida","Gators","Albert"
"313","0x20e2d4","Georgia","UGA","Georgia","Bulldogs","Hairy Dawg"
"314","0x20e594","Kentucky","UK","Kentucky","Wildcats","Scratch"
"315","0x20e854","LSU","LSU","LSU","Tigers","Hugh"
"316","0x20eb14","Mississippi St.","MSST","Mississippi State","Bulldogs","Bully"
"317","0x20edd4","Missouri","MIZZ","Missouri","Tigers","Truman Tiger"
"318","0x20f094","Ole Miss","MISS","Mississippi","Rebels","Colonel Reb"
"319","0x20f354","South Carolina","SCAR","South Carolina","Gamecocks","Cocky"
"320","0x20f614","Tennessee","TENN","Tennessee","Volunteers","Smokey"
"321","0x20f8d4","Texas A&M","A&M","Texas A&M","Aggies","Reveille"
"322","0x20fb94","Denver","DEN","Denver","Pioneers","Ruckus"
"323","0x20fe54","ND State","NDSU","North Dakota State","Bison","Thundar"
"324","0x210114","Oral Roberts","ORU","Oral Roberts","Golden Eagles","Eli"
"325","0x2103d4","South Dakota","SD","South Dakota","Coyotes","N/A"
"326","0x210694","South Dakota Sta","SDS","South Dakota Sta","Jacks","Charie Coyote"
"327","0x210954","UMKC","UMKC","Missouri-Kansas City","Kangaroos","Kasey"
"328","0x210c14","W. Illinois","WIU","Western Illinois","Leathernecks","Rocky"
"329","0x210ed4","La Salle","LAS","La Salle","Explorers","Explorer"
"330","0x211194","Brigham Young","BYU","Brigham Young","Cougars","Cosmo"
"331","0x211454","Gonzaga","GONZ","Gonzaga","Bulldogs","Spike"
"332","0x211714","Loyola Marymount","LMU","Loyola Marymount","Lions","Iggy"
"333","0x2119d4","Pepperdine","PEPP","Pepperdine","Waves","N/A"
"334","0x211c94","Portland","PORT","Portland","Pilots","Wally"
"335","0x211f54","Saint Mary's","SMC","Saint Mary's","Gaels","N/A"
"336","0x212214","San Diego","USD","San Diego","Toreros","N/A"
"337","0x2124d4","San Francisco","SF","San Francisco","Dons","Codons"
"338","0x212794","Santa Clara","SCU","Santa Clara","Broncos","Bucky"
"339","0x212a54"," '55 San Francisco","USF"," '55 San Fran","Dons","N/A"
"340","0x212d14"," '57 Kansas","KU"," '57 Kansas","Jayhawks","N/A"
"341","0x212fd4"," '59 California","CAL"," '59 California","Golden Bears","N/A"
"342","0x213294"," '59 West Virginia","WVU"," '59 W Virginia","Mountaineers","N/A"
"343","0x213554"," '60 Cincinnati","CIN"," '60 Cincinnati","Bearcats","N/A"
"344","0x213814"," '60 Ohio State","OHST"," '60 Ohio State","Buckeyes","N/A"
"345","0x213ad4"," '64 UCLA","UCLA"," '64 UCLA","Bruins","N/A"
"346","0x213d94"," '66 Texas Western","TWC"," '66 Texas Western","Miners","N/A"
"347","0x214054"," '68 Houston","HOU"," '68 Houston","Cougars","N/A"
"348","0x214314"," '69 UCLA","UCLA"," '69 UCLA","Bruins","N/A"
"349","0x2145d4"," '72 UCLA","UCLA"," '72 UCLA","Bruins","N/A"
"350","0x214894"," '74 NC State","NCST"," '74 NC State","Wolfpack","N/A"
"351","0x214b54"," '75 UCLA","UCLA"," '75 UCLA","Bruins","N/A"
"352","0x214e14"," '79 Michigan State","MIST"," '79 Michigan St","Spartans","N/A"
"353","0x2150d4"," '79 Indiana State","INST"," '79 Indiana St","Sycamores","N/A"
